text,label
"URGENT: Your account will be suspended! Click now to verify!",1
"Congratulations! You won $1000! Claim now at http://bit.ly/win123",1
"Hi, please find the document attached.",0
"Verify your PayPal account immediately or it will be closed!",1
"See you in the meeting tomorrow.",0
"Your package is delayed. Track it here: http://scam-url.net",1
"Dear user, your password has expired. Click to reset.",1
"Let's schedule a call for next week.",0
"Act now! Limited time offer! Click here!",1
"Your invoice is ready. Download here.",0
